ParticleType,Energy
2pi-,277.792
pi+,416.931
pi+,416.931
2pi+,415.896
2pi+,415.896
pi-,39.7296
pi-,39.7296
pi-,39.7296
2pi-,35.2912
2pi-,35.2912
2pi-,35.2912
pi+,267.613
pi+,267.613
2pi+,264.76
2pi+,264.76
pi-,415.941
pi-,415.941
2pi-,414.957
2pi-,414.957
pi+,422.2
pi+,422.2
pi+,422.2
2pi+,421.297
2pi+,421.297
2pi+,421.297
pi-,202.894
pi-,202.894
pi-,202.894
2pi-,201.778
2pi-,201.778
2pi-,201.778
pi+,223.081
pi+,223.081
pi+,223.081
2pi+,222.064
2pi+,222.064
2pi+,222.064
pi-,998.403
pi-,998.403
2pi-,997.537
2pi-,997.537
pi+,381.612
pi+,381.612
2pi+,380.416
2pi+,380.416
pi+,625.878
pi+,625.878
2pi+,624.617
2pi+,624.617
pi-,384.542
pi-,384.542
2pi-,383.669
2pi-,383.669
pi-,1061.73
pi-,1061.73
2pi-,1060.72
2pi-,1060.72
pi+,828.492
pi+,828.492
2mu+,594.276
2mu+,594.276
pi+,819.653
pi+,819.653
2pi+,818.799
2pi+,818.799
pi-,250.461
pi-,250.461
pi-,250.461
2pi-,248.831
2pi-,248.831
pi+,648.817
pi+,648.817
2mu+,529.633
2mu+,529.633
pi+,554.021
pi+,554.021
2mu+,439.657
2mu+,439.657
pi+,496.831
pi+,496.831
2pi+,495.098
2pi+,495.098
pi+,274.802
pi+,274.802
2mu+,287.078
2mu+,287.078
pi+,365.261
pi+,365.261
2pi+,364.057
2pi+,364.057
pi+,628.783
pi+,628.783
2pi+,627.897
2pi+,627.897
pi+,220.711
pi+,220.711
pi+,220.711
2pi+,219.331
2pi+,219.331
2pi+,219.331
pi-,286.583
pi-,286.583
pi-,286.583
2pi-,285.667
2pi-,285.667
2pi-,285.667
pi+,123.94
pi+,123.94
pi+,123.94
2pi+,122.145
2pi+,122.145
2pi+,122.145
pi-,194.526
pi-,194.526
2mu-,145.225
2mu-,145.225
2mu-,145.225
pi-,178.748
pi-,178.748
pi-,178.748
2pi-,177.446
2pi-,177.446
2pi-,177.446
pi+,565.933
pi+,565.933
2pi+,563.639
2pi+,563.639
pi+,295.53
pi+,295.53
2pi+,294.161
2pi+,294.161
pi+,157.232
pi+,157.232
pi+,157.232
2pi+,155.989
2pi+,155.989
2pi+,155.989
